1571829281,3,24,1,"CQ,CA,C2,CK;D9,DA,DJ,DK;D8,D3,D7,DQ;D4,D2,HJ,D10;SQ,HA,H10,D6;HK,HQ,H5,D5;C10,H8,C8,CJ;C7,H6,C6,C9;H9,H3,C3,C5;H7,SK,SA,C4;SJ,S10,S9,S6;S5,S8,S4,H4;S3,S7,S2,H2"
1571829281,3,9,1,"CK,C2,CQ,C8;DQ,D10,DJ,DA;D9,D5,D8,DK;SQ,HJ,D7,D6;HK,H8,D3,D4;H4,H5,H9,D2;CJ,CA,C9,C5;C4,C10,C6,HA;H3,C7,C3,HQ;S9,SK,SJ,SA;S6,S7,S2,S10;S5,S4,H7,S8;H2,S3,H6,H10"
1571829281,3,5,1,"CK,CA,C2,C7;D9,DQ,DA,D7;D8,DJ,DK,D2;D6,D3,D10,SQ;D4,HA,D5,HK;CJ,C6,CQ,C5;C10,C3,C8,HQ;C9,H10,HJ,H8;C4,H9,SK,H5;S7,SJ,S8,SA;H7,S9,S5,S10;H3,H6,S4,S6;H2,H4,S2,S3"
1571829281,3,6,1,"CA,C5,CK,C2;DA,DQ,D7,D5;DK,DJ,D4,D2;D9,D10,D3,SQ;D8,D6,HA,HK;CQ,HJ,C8,CJ;C9,H5,C4,C10;H10,H4,C3,C7;H9,H3,HQ,C6;SA,SJ,SK,S8;S5,S10,S4,S7;S3,S9,H8,H7;S2,S6,H6,H2"
1571829281,3,2,1,"CK,CA,C10,C2;D6,DQ,DA,D9;D3,D10,DK,D2;SQ,D8,DJ,HA;HK,HJ,D7,H5;HQ,H10,D5,H2;H7,H9,D4,CJ;SA,SJ,S10,S8;C6,CQ,H8,C9;C4,C7,H6,C8;SK,C3,H4,C5;S4,S9,S7,S6;S2,H3,S3,S5"
1571829281,3,13,1,"CJ,C10,C2,C8;D9,DA,DK,DQ;SQ,D10,D8,DJ;H4,D7,D5,D6;H2,D4,H8,D3;SA,D2,H5,HA;SJ,SK,S6,S10;S9,S7,S3,S8;C9,HK,CA,C6;C5,HQ,CK,C3;S5,H10,CQ,HJ;S4,H9,C7,H6;S2,H7,C4,H3"
1571829281,3,23,1,"CQ,C2,C8,CJ;D10,DJ,D8,DA;D6,D9,D4,DK;D2,D3,HA,DQ;HJ,HQ,H10,D7;H8,H4,H9,D5;C10,CA,H7,C7;C9,CK,H5,C6;C5,C4,H3,C3;S7,SJ,S9,S2;S6,S10,S8,SQ;SA,H2,S5,HK;SK,S3,S4,H6"
1571829281,3,0,1,"CQ,C7,C2,CK;D10,DK,DQ,DA;D9,D8,D5,DJ;SQ,D7,D4,D3;HQ,D6,D2,HA;C9,C6,CA,C10;C3,C4,CJ,C5;H5,HJ,C8,HK;SJ,S9,SA,SK;S10,S5,S2,S7;S8,H10,H9,S6;S4,H6,H8,S3;H4,H3,H7,H2"
1571829281,3,0,1,"DQ,CA,C2,CK;D10,DJ,DA,DK;D9,D6,D8,HJ;D5,D4,D7,H7;HA,C6,CQ,CJ;H10,C5,C10,C9;SJ,S5,S10,S7;D2,D3,HK,SA;S9,S4,S6,S3;S8,S2,SK,C8;H8,HQ,H9,C7;H5,SQ,H6,C4;H4,H3,H2,C3"
1571829281,3,2,1,"CK,C2,C7,CJ;D8,DK,DA,D9;D6,DQ,D10,D7;SQ,DJ,D4,HJ;HK,D5,D3,H9;HQ,D2,HA,H5;CQ,CA,C5,C9;S6,SJ,SA,SK;C10,H10,C4,C3;C8,H8,H6,H2;C6,H7,S8,S10;S5,H4,S4,S9;S2,H3,S3,S7"
1571829281,3,0,1,"CJ,C2,CA,C9;DA,D4,DK,DJ;DQ,D3,D10,D9;D8,H7,D6,D7;C10,CK,CQ,C6;HK,C8,C5,C3;HJ,C7,SQ,HA;H9,C4,HQ,H10;SA,S10,S8,SJ;SK,S9,S4,S5;S2,S7,H8,S3;H6,S6,H5,D5;H2,H4,H3,D2"
1571829281,3,8,1,"C2,C10,CK,CQ;D7,DA,DK,D9;D6,DQ,DJ,D8;D3,D10,D5,D2;CA,C9,C5,C7;CJ,C8,C3,H10;C6,C4,SQ,H7;SJ,SA,SK,S10;S9,S3,S2,S8;S4,H8,HA,S7;HJ,H5,HK,S6;H9,H4,HQ,S5;H6,H3,D4,H2"
1571829281,3,1,1,"CA,CK,CQ,C2;D5,DA,DK,DQ;D4,D7,DJ,D10;D3,D6,D9,D8;CJ,C9,C8,C10;D2,HK,SQ,HJ;C7,H10,C5,C6;SJ,SA,S4,SK;HA,S9,S2,S10;H6,S7,C4,C3;H5,S6,HQ,H9;H3,S5,H8,H4;H2,S3,H7,S8"
1571829281,3,5,1,"CQ,C2,CJ,CA;DK,DA,D10,DJ;D9,DQ,D7,D5;D8,D4,D2,SQ;D6,D3,H8,HQ;C5,CK,C10,C7;HJ,C8,C9,H9;H7,C4,C6,H4;H5,HA,C3,S9;SK,S8,SA,S7;SJ,S3,S10,S6;S2,HK,H6,S5;H2,H10,H3,S4"
